Hue,Saturation,Value,Label
25.0,240.0,168.0,fields_tiles
25.0,248.0,161.0,fields_tiles
25.0,244.0,154.0,fields_tiles
25.0,253.0,162.0,fields_tiles
46.0,158.0,47.0,forest_tiles
37.0,166.0,60.0,forest_tiles
35.0,163.0,58.0,forest_tiles
47.0,156.0,53.0,forest_tiles
43.0,166.0,53.0,forest_tiles
46.0,145.0,46.0,forest_tiles
46.0,144.0,46.0,forest_tiles
38.0,117.0,54.0,forest_tiles
51.0,120.0,47.0,forest_tiles
49.0,138.0,49.0,forest_tiles
46.0,143.0,47.0,forest_tiles
35.0,174.0,61.0,forest_tiles
42.0,188.0,50.0,forest_tiles
37.0,179.0,57.0,forest_tiles
43.0,162.0,51.0,forest_tiles
36.0,162.0,66.0,forest_tiles
35.0,155.0,65.0,forest_tiles
46.0,166.0,51.0,forest_tiles
36.0,155.0,51.0,forest_tiles
48.0,165.5,43.0,forest_tiles
43.0,154.0,41.0,forest_tiles
49.0,148.0,37.0,forest_tiles
44.0,152.0,43.0,forest_tiles
49.0,132.0,38.5,forest_tiles
38.0,166.0,46.0,forest_tiles
36.0,161.0,46.0,forest_tiles
48.0,157.0,40.0,forest_tiles
43.0,177.0,42.0,forest_tiles
42.0,166.0,43.0,forest_tiles
46.0,166.0,51.0,forest_tiles
36.0,155.0,51.0,forest_tiles
48.0,165.5,43.0,forest_tiles
43.0,154.0,41.0,forest_tiles
49.0,148.0,37.0,forest_tiles
44.0,152.0,43.0,forest_tiles
49.0,132.0,38.5,forest_tiles
38.0,166.0,46.0,forest_tiles
36.0,161.0,46.0,forest_tiles
48.0,157.0,40.0,forest_tiles
43.0,177.0,42.0,forest_tiles
42.0,166.0,43.0,forest_tiles
45.0,137.0,59.0,forest_tiles
45.0,186.0,57.0,forest_tiles
36.0,180.0,61.0,forest_tiles
36.0,176.0,44.0,forest_tiles
45.0,195.0,48.0,forest_tiles
46.0,181.0,49.0,forest_tiles
40.0,140.0,54.0,forest_tiles
48.0,150.0,49.0,forest_tiles
46.0,137.0,56.0,forest_tiles
46.0,184.0,55.0,forest_tiles
36.0,201.0,54.0,forest_tiles
41.0,207.0,53.0,forest_tiles
37.0,210.0,61.0,forest_tiles
39.0,200.0,58.0,forest_tiles
43.0,200.0,64.0,forest_tiles
37.0,201.0,67.0,forest_tiles
45.0,195.0,56.0,forest_tiles
40.0,196.0,57.0,forest_tiles
37.0,160.0,64.0,forest_tiles
46.0,193.0,61.0,forest_tiles
40.0,173.0,61.0,forest_tiles
43.0,176.0,60.0,forest_tiles
43.0,211.0,49.0,forest_tiles
43.0,155.0,52.0,forest_tiles
31.0,206.0,64.0,forest_tiles
34.0,167.0,50.0,forest_tiles
40.0,158.0,44.0,forest_tiles
43.0,161.0,43.0,forest_tiles
44.0,166.0,47.0,forest_tiles
40.0,168.0,49.0,forest_tiles
36.0,149.0,50.0,forest_tiles
34.0,180.0,57.0,forest_tiles
35.0,170.0,54.0,forest_tiles
50.0,105.0,41.0,forest_tiles
45.0,138.0,36.0,forest_tiles
46.0,144.0,38.0,forest_tiles
43.0,170.0,36.0,forest_tiles
46.0,158.0,38.0,forest_tiles
42.0,156.0,40.0,forest_tiles
43.0,178.0,36.0,forest_tiles
42.0,83.0,45.0,forest_tiles
